enrollment,interval,start,end,model
2674,Monthly,8/1/2020,8/31/2020,Virtual
2801,Monthly,8/1/2020,8/31/2020,Virtual
2646,Monthly,8/1/2020,8/31/2020,Virtual
1491,Monthly,8/1/2020,8/31/2020,Virtual
2567,Monthly,8/1/2020,8/31/2020,Virtual
45,Monthly,8/1/2020,8/31/2020,Virtual
2988,Monthly,8/1/2020,8/31/2020,Virtual
565,Monthly,8/1/2020,8/31/2020,Virtual
475,Monthly,8/1/2020,8/31/2020,Virtual
3035,Monthly,8/1/2020,8/31/2020,Virtual
194,Monthly,8/1/2020,8/31/2020,Virtual
199,Monthly,8/1/2020,8/31/2020,Virtual
1989,Monthly,8/1/2020,8/31/2020,Closed
848,Monthly,8/1/2020,8/31/2020,Closed
450,Monthly,8/1/2020,8/31/2020,Closed
356,Monthly,8/1/2020,8/31/2020,Closed
405,Monthly,8/1/2020,8/31/2020,Closed
847,Monthly,8/1/2020,8/31/2020,Closed
1908,Monthly,8/1/2020,8/31/2020,Closed
468,Monthly,8/1/2020,8/31/2020,Closed
761,Monthly,8/1/2020,8/31/2020,Closed
429,Monthly,8/1/2020,8/31/2020,Closed
422,Monthly,8/1/2020,8/31/2020,Closed
507,Monthly,8/1/2020,8/31/2020,Closed
469,Monthly,8/1/2020,8/31/2020,Closed
544,Monthly,8/1/2020,8/31/2020,Closed
631,Monthly,8/1/2020,8/31/2020,Closed
527,Monthly,8/1/2020,8/31/2020,Closed
629,Monthly,8/1/2020,8/31/2020,Closed
677,Monthly,8/1/2020,8/31/2020,Closed
1102,Monthly,8/1/2020,8/31/2020,Closed
289,Monthly,8/1/2020,8/31/2020,Closed
530,Monthly,8/1/2020,8/31/2020,Closed
456,Monthly,8/1/2020,8/31/2020,Closed
352,Monthly,8/1/2020,8/31/2020,Virtual
2116,Monthly,8/1/2020,8/31/2020,Virtual
543,Monthly,8/1/2020,8/31/2020,Virtual
1636,Monthly,8/1/2020,8/31/2020,Virtual
288,Monthly,8/1/2020,8/31/2020,Virtual
669,Monthly,8/1/2020,8/31/2020,Virtual
1153,Monthly,8/1/2020,8/31/2020,Virtual
659,Monthly,8/1/2020,8/31/2020,Virtual
901,Monthly,8/1/2020,8/31/2020,Virtual
860,Monthly,8/1/2020,8/31/2020,Virtual
1599,Monthly,8/1/2020,8/31/2020,Virtual
643,Monthly,8/1/2020,8/31/2020,Virtual
1192,Monthly,8/1/2020,8/31/2020,Virtual
604,Monthly,8/1/2020,8/31/2020,Virtual
340,Monthly,8/1/2020,8/31/2020,Virtual
3032,Monthly,8/1/2020,8/31/2020,Virtual
643,Monthly,8/1/2020,8/31/2020,Virtual
664,Monthly,8/1/2020,8/31/2020,Virtual
756,Monthly,8/1/2020,8/31/2020,Virtual
686,Monthly,8/1/2020,8/31/2020,Virtual
632,Monthly,8/1/2020,8/31/2020,Virtual
709,Monthly,8/1/2020,8/31/2020,Virtual
580,Monthly,8/1/2020,8/31/2020,Virtual
489,Monthly,8/1/2020,8/31/2020,Virtual
73,Monthly,8/1/2020,8/31/2020,Virtual
668,Monthly,8/1/2020,8/31/2020,Virtual
273,Monthly,8/1/2020,8/31/2020,Virtual
211,Monthly,8/1/2020,8/31/2020,Virtual
256,Monthly,8/1/2020,8/31/2020,Virtual
466,Monthly,8/1/2020,8/31/2020,Virtual
210,Monthly,8/1/2020,8/31/2020,Virtual
387,Monthly,8/1/2020,8/31/2020,Virtual
510,Monthly,8/1/2020,8/31/2020,Virtual
388,Monthly,8/1/2020,8/31/2020,Virtual
328,Monthly,8/1/2020,8/31/2020,Virtual
343,Monthly,8/1/2020,8/31/2020,Virtual
344,Monthly,8/1/2020,8/31/2020,Virtual
944,Monthly,8/1/2020,8/31/2020,Virtual
391,Monthly,8/1/2020,8/31/2020,Virtual
216,Monthly,8/1/2020,8/31/2020,Virtual
713,Monthly,8/1/2020,8/31/2020,Virtual
881,Monthly,8/1/2020,8/31/2020,Virtual
668,Monthly,8/1/2020,8/31/2020,Virtual
762,Monthly,8/1/2020,8/31/2020,Virtual
243,Monthly,8/1/2020,8/31/2020,Virtual
510,Monthly,8/1/2020,8/31/2020,Virtual
257,Monthly,8/1/2020,8/31/2020,Virtual
392,Monthly,8/1/2020,8/31/2020,Virtual
433,Monthly,8/1/2020,8/31/2020,Virtual
531,Monthly,8/1/2020,8/31/2020,Virtual
415,Monthly,8/1/2020,8/31/2020,Virtual
324,Monthly,8/1/2020,8/31/2020,Virtual
572,Monthly,8/1/2020,8/31/2020,Virtual
575,Monthly,8/1/2020,8/31/2020,Virtual
561,Monthly,8/1/2020,8/31/2020,Virtual
186,Monthly,8/1/2020,8/31/2020,Virtual
483,Monthly,8/1/2020,8/31/2020,Virtual
271,Monthly,8/1/2020,8/31/2020,Virtual
632,Monthly,8/1/2020,8/31/2020,Virtual
228,Monthly,8/1/2020,8/31/2020,Virtual
370,Monthly,8/1/2020,8/31/2020,Virtual
367,Monthly,8/1/2020,8/31/2020,Virtual
608,Monthly,8/1/2020,8/31/2020,Virtual
379,Monthly,8/1/2020,8/31/2020,Virtual
380,Monthly,8/1/2020,8/31/2020,Virtual
323,Monthly,8/1/2020,8/31/2020,Virtual
820,Monthly,8/1/2020,8/31/2020,Virtual
505,Monthly,8/1/2020,8/31/2020,Virtual
414,Monthly,8/1/2020,8/31/2020,Virtual
564,Monthly,8/1/2020,8/31/2020,Virtual
578,Monthly,8/1/2020,8/31/2020,Virtual
438,Monthly,8/1/2020,8/31/2020,Virtual
580,Monthly,8/1/2020,8/31/2020,Virtual
450,Monthly,8/1/2020,8/31/2020,Virtual
423,Monthly,8/1/2020,8/31/2020,Virtual
405,Monthly,8/1/2020,8/31/2020,Virtual
341,Monthly,8/1/2020,8/31/2020,Virtual
41,Monthly,8/1/2020,8/31/2020,Virtual
67,Monthly,8/1/2020,8/31/2020,Virtual
416,Monthly,8/1/2020,8/31/2020,Virtual
322,Monthly,8/1/2020,8/31/2020,Virtual
286,Monthly,8/1/2020,8/31/2020,Virtual
422,Monthly,8/1/2020,8/31/2020,Virtual
571,Monthly,8/1/2020,8/31/2020,Virtual
435,Monthly,8/1/2020,8/31/2020,Virtual
3142,Monthly,8/1/2020,8/31/2020,Virtual
485,Monthly,8/1/2020,8/31/2020,Virtual
1207,Monthly,8/1/2020,8/31/2020,Virtual
813,Monthly,8/1/2020,8/31/2020,Virtual
17,Monthly,8/1/2020,8/31/2020,Virtual
44,Monthly,8/1/2020,8/31/2020,Virtual
181,Monthly,8/1/2020,8/31/2020,Virtual
337,Monthly,8/1/2020,8/31/2020,Virtual
62,Monthly,8/1/2020,8/31/2020,Virtual
376,Monthly,8/1/2020,8/31/2020,Virtual
305,Monthly,8/1/2020,8/31/2020,Virtual
221,Monthly,8/1/2020,8/31/2020,Virtual
347,Monthly,8/1/2020,8/31/2020,Virtual
395,Monthly,8/1/2020,8/31/2020,Virtual
1,Monthly,8/1/2020,8/31/2020,Virtual
661,Monthly,8/1/2020,8/31/2020,Virtual
174,Monthly,8/1/2020,8/31/2020,Virtual
527,Monthly,8/1/2020,8/31/2020,Virtual
523,Monthly,8/1/2020,8/31/2020,Virtual
751,Monthly,8/1/2020,8/31/2020,Virtual
738,Monthly,8/1/2020,8/31/2020,Virtual
509,Monthly,8/1/2020,8/31/2020,Virtual
536,Monthly,8/1/2020,8/31/2020,Virtual
173,Monthly,8/1/2020,8/31/2020,Virtual
351,Monthly,8/1/2020,8/31/2020,Virtual
596,Monthly,8/1/2020,8/31/2020,Virtual
286,Monthly,8/1/2020,8/31/2020,Virtual
