enrollment,interval,start,end,model
301,Biweekly,11/30/2020,12/13/2020,Hybrid
367,Biweekly,1/4/2021,1/17/2021,Virtual
367,Biweekly,1/18/2021,1/31/2021,Virtual
367,Biweekly,2/1/2021,2/14/2021,Virtual
367,Biweekly,2/15/2021,2/28/2021,Virtual
367,Biweekly,3/1/2021,3/14/2021,Virtual
367,Biweekly,3/15/2021,3/28/2021,Hybrid
367,Biweekly,3/29/2021,4/11/2021,Hybrid
367,Biweekly,4/12/2021,4/25/2021,Hybrid
367,Biweekly,4/26/2021,5/9/2021,Hybrid
367,Biweekly,5/10/2021,5/23/2021,Hybrid
367,Biweekly,5/24/2021,6/6/2021,Hybrid
367,Biweekly,6/7/2021,6/20/2021,Hybrid
,Biweekly,9/1/2020,9/13/2020,
,Biweekly,9/14/2020,9/27/2020,
,Biweekly,9/28/2020,10/11/2020,
74,Biweekly,10/12/2020,10/25/2020,Hybrid
76,Biweekly,10/26/2020,11/9/2020,
76,Biweekly,11/9/2020,11/29/2020,Hybrid
76,Biweekly,11/30/2020,12/13/2020,Hybrid
74,Biweekly,1/4/2021,1/17/2021,Virtual
74,Biweekly,1/18/2021,1/31/2021,Virtual
74,Biweekly,2/1/2021,2/14/2021,Virtual
74,Biweekly,2/15/2021,2/28/2021,Virtual
74,Biweekly,3/1/2021,3/14/2021,Virtual
74,Biweekly,3/15/2021,3/28/2021,Hybrid
74,Biweekly,3/29/2021,4/11/2021,Hybrid
74,Biweekly,4/12/2021,4/25/2021,Hybrid
74,Biweekly,4/26/2021,5/9/2021,Hybrid
